ID,Class,Marker,Name,RuleSyntax,PossibilitySyntax,EnergyRisk,OperationsRisk,Description,PossibleCauses,PossibleSolutions
130,VAV,"hvac,vav,equip",High Discharge Air Temperature Setpoint,{{Discharge Air Temp SP Too Hot}} = 1,{{Discharge Air Temp SP Exists}} = 1,4,4,"The unit's discharge air temperature setpoint is higher than desired. ",1. Control logic,1. Set discharge air temperature setpoint to a lower value
131,VAV,"hvac,vav,equip",High Occupied Heating Setpoint,{{Occupied Hours}} = 1 AND {{Zone Air Temp Occ Heating SP Too Hot}} = 1,{{Occupied Hours}} = 1 AND {{Zone Air Temp Occ Heating SP Exists}} = 1,4,4,The unit's occupied heating setpoint is higher than desired.,1. Control logic,1. Set occupied heating setpoint to a lower value
132,VAV,"hvac,vav,equip",High Unoccupied Heating Setpoint,{{Unoccupied Hours}} = 1 AND {{Zone Air Temp Unocc Heating SP Too Hot}} = 1,{{Unoccupied Hours}} = 1 AND {{Zone Air Temp Unocc Heating SP Exists}} = 1,4,4,The unit's unoccupied heating setpoint is higher than desired.,1. Control logic,1. Set unoccupied heating setpoint to a lower value
133,VAV,"hvac,vav,equip",Ineffective Heating,{{Occupied Hours}} = 1 AND {{Mech Heating On}} = 1 AND {{Zone Air Temp Too Cold}} = 1,{{Occupied Hours}} = 1 AND {{Mech Heating Exists}} = 1 AND {{Zone Air Temp Exists}} = 1 AND {{Zone Air Temp Occ Heating SP Exists}} = 1,2,4,"The unit is on and heating, but the zone air temperature is still too cold. ","1. Fouled heating coil tubes
2. Water to heating coil not being heated sufficiently
3. Inaccurate zone air  temperature sensor
4. Zone air temperature setpoint set too high","1. Clean heating coil
2. Resolve water heating issues
3. Recalibrate/replace zone air temperature sensor
4. Adjust zone air temperature setpoint"
134,VAV,"hvac,vav,equip",Low Occupied Cooling Setpoint,{{Occupied Hours}} = 1 AND {{Zone Air Temp Occ Cooling SP Too Cold}} = 1,{{Occupied Hours}} = 1 AND {{Zone Air Temp Occ Cooling SP Exists}} = 1,3,4,The unit's occupied cooling setpoint is lower than desired.,1. Control logic,1. Set occupied cooling setpoint to a higher value
135,VAV,"hvac,vav,equip",Low Unoccupied Cooling Setpoint,{{Unoccupied Hours}} = 1 AND {{Zone Air Temp Unocc Cooling SP Too Cold}} = 1,{{Unoccupied Hours}} = 1 AND {{Zone Air Temp Unocc Cooling SP Exists}} = 1,3,2,The unit's unoccupied cooling setpoint is lower than desired.,1. Control logic,1. Set unoccupied cooling setpoint to a higher value
136,VAV,"hvac,vav,equip",Manual Override - Heating Coil Valve,{{Occupied Hours}} = 1 AND (({{Discharge Air Temp Too Hot}} = 1 AND {{Mech Heating On}} = 1) OR ({{Discharge Air Temp Too Cold}} = 1 AND {{Mech Heating Off}} = 1)),{{Occupied Hours}} = 1 AND {{Mech Heating Exists}} = 1 AND {{Discharge Air Temp Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1,4,4,"The unit is operating and not heating when the discharge temperature is lower than setpoint or heating when the discharge temperature is higher than setpoint. ","1. Heating coil valve manually overridden
2. Poor heating coil valve control","1. Release override
2. Tune heating coil PID loop"
137,VAV,"hvac,vav,equip",Over Cooling,{{Occupied Hours}} = 1 AND {{Discharge Air Damper Above Minimum}} = 1 AND {{Mech Heating Off}} = 1 AND {{Zone Air Temp Too Cold}} = 1,{{Occupied Hours}} = 1 AND {{Discharge Air Damper Exists}} = 1 AND {{Mech Heating Exists}} = 1 AND {{Zone Air Temp Exists}} = 1 AND {{Zone Air Temp Occ Cooling SP Exists}} = 1,4,3,"The unit's damper is above minimum position while the zone air temperature is too cold. ","1. Damper manually overridden
2. Inaccurate zone air  temperature sensor
3. Zone air temperature setpoint set too high","1. Release override
2. Recalibrate/replace zone air temperature sensor
3. Adjust zone air temperature setpoint"
138,VAV,"hvac,vav,equip",Overflowing Air Damper - Controls,{{Occupied Hours}} = 1 AND {{Discharge Air Damper At Maximum}} = 1 AND {{Excess Flow}} = 1,{{Occupied Hours}} = 1 AND {{Discharge Air Flow Exists}} = 1 AND {{Discharge Air Flow SP Exists}} = 1 AND {{Discharge Air Damper Exists}} = 1,4,3,"The unit's damper is fully open when the discharge air flow is higher than setpoint. ","1. Damper position manually overridden
2. Poor damper control","1. Release override
2. Tune damper PID loop"
139,VAV,"hvac,vav,equip",Overflowing Air Damper - Mechanical,{{Occupied Hours}} = 1 AND {{Discharge Air Damper At Minimum}} = 1 AND {{Excess Flow}} = 1,{{Occupied Hours}} = 1 AND {{Discharge Air Flow Exists}} = 1 AND {{Discharge Air Flow SP Exists}} = 1 AND {{Discharge Air Damper Exists}} = 1,4,3,"The unit's damper is at minimum position when the discharge air flow is higher than setpoint. ","1. Mechanically failed damper actuator
2. Inaccurate discharge flow sensor","1. Repair/replace damper actuator
2. Recalibrate/replace flow sensor"
140,VAV,"hvac,vav,equip",Reversed Airflow Sensor Tubes,{{Occupied Hours}} = 1 AND {{Deficit Flow}} = 1 AND {{Discharge Air Damper At Maximum}} = 1 AND {{Negative Discharge Air Flow}} = 1,{{Occupied Hours}} = 1 AND {{Discharge Air Flow Exists}} = 1 AND {{Discharge Air Flow SP Exists}} = 1 AND {{Discharge Air Damper Exists}} = 1,3,2,The unit's discharge air flow sensor is reading negative values.,"1. Reversed air flow sensor tubes
2. Inaccurate air flow sensor","1. Correct reversed tubes
2. Recalibrate/replace air flow sensor"
141,VAV,"hvac,vav,equip",Under Cooling,{{Occupied Hours}} = 1 AND {{Discharge Air Damper Below Maximum}} = 1 AND {{Zone Air Temp Too Hot}} = 1,{{Occupied Hours}} = 1 AND {{Discharge Air Damper Exists}} = 1 AND {{Zone Air Temp Exists}} = 1 AND {{Zone Air Temp Occ Cooling SP Exists}} = 1,3,4,"The unit is running with the damper below maximum position and the zone air temperature is above setpoint. ","1. Damper position manually overridden
2. Poor damper control
3. Inaccurate zone air temperature sensor
4. Zone air temperature setpoint too low
5. Unit is undersized for load","1. Release override
2. Tune damper PID loop
3. Recalibrate/replace zone air temperature sensor
4. Adjust zone air temperature setpoint"
142,VAV,"hvac,vav,equip",Underflowing Air Damper - Controls,{{Occupied Hours}} = 1 AND {{Discharge Air Damper Below Maximum}} = 1 AND {{Deficit Flow}} = 1,{{Occupied Hours}} = 1 AND {{Discharge Air Flow Exists}} = 1 AND {{Discharge Air Flow SP Exists}} = 1 AND {{Discharge Air Damper Exists}} = 1,4,3,"The unit's damper is not fully open when the discharge air flow is lower than setpoint. ","1. Damper position manually overridden
2. Poor damper control","1. Release override
2. Tune damper PID loop"
143,VAV,"hvac,vav,equip",Underflowing Air Damper - Mechanical,{{Occupied Hours}} = 1 AND {{Discharge Air Damper At Maximum}} = 1 AND {{Deficit Flow}} = 1,{{Occupied Hours}} = 1 AND {{Discharge Air Flow Exists}} = 1 AND {{Discharge Air Flow SP Exists}} = 1 AND {{Discharge Air Damper Exists}} = 1,4,3,"The unit's damper is at maximum position when the discharge air flow is lower than setpoint. ","1. Mechanically failed damper actuator
2. Inaccurate discharge flow sensor","1. Repair/replace damper actuator
2. Recalibrate/replace flow sensor"
